0,1,91,191,"Azul","Blue","темно синий","Dark Blue","dunkelblau","Dark Blue","bleu nuit","Midnight Blue","藍色","Blue","blu scuro","Blue","파란색","Blue","青","Blue","Very Very Dark Blue","Navy","Navy Blue",284.05,237.41
0,14,56,1456,"azul negro","Black Blue","темно-синий","Dark Blue","dunkelblau","Dark Blue","bleu nuit foncé","Dark Blue Night","黑色","Black","Nero perla","Blue","곤색","Navy","濃い青","Dark Blue","Midnight Black","Navy","Boatneck Blue",283.01,275.81
2,0,40,2040,"Negro","Black","темно-синий","Dark Blue","schwarz","Black","noir","Black","黑色","Black","blu scuro","Dark Blue","검정","Black","ブラック","Black","Night Over The Sea","Black","Underblue",292.65,296.06
0,220,2,2202,"verde","Green","Зелёный","Green","leuchtend hellgrün","Bright Green Light","vert","Green","绿","Green","verde","Green","녹색","Green","黄緑","Yellow-green","Briliant Key Lime","Lime","Bright Green",232.47,440.44
0,27,23,2723,"negro","Black","чёрный","Black","dunkel petrol","Dark Petrol","noire","Black","黑色","Black","nero","Black","검은색","Black","黒","Black","Midnight Forest","Black","Black",317.67,254.82
2,8,91,2891,"azul oscuro","Dark Blue","темно-синий","Dark Blue","blau","Blue","bleu","Blue","深蓝色","Navy Blue","Blu","Blue","푸른색","Blue","濃い青","Dark Blue","Dark Navy Blue","Navy","Navy Blue",280.09,244.54
2,94,4,2944,"verde","Fluorescent Green","зелёный","Green","grün","Green","vert","Green","綠色","Green","verde","Green","매우짙은녹색","Very dark green","緑色","Green","Woodsman Green","Green","Forest Green",273.78,320.07
5,76,0,5760,"verde oscuro","Dark Green","темно-зеленый","Dark Green","grasgrün","Grass Green","vert","Green","绿色","Green","olive","Green","녹색","Green","緑色","Green","Asparagus Green","Olive","Olive",297.72,310.6
83,4,7,8347,"granate","Garnet","Коричневый","Brown","rotbraun","Maroon","marron","Brown","褐色","Brown","marrone","Brown","갈색","Brown","茶色","Brown","Rich Chocolate","Brown","Blood",372.79,281.07
0,96,20,9620,"verde","Green","Тёмно-зелёный сочный","Dark Green Succulent","grün","Green","vert","Green","草色","Grass","verde scuro","Green","진녹색","Dark green","ダークグリーン","Dark Green","Light Hunter Green","Evergreen","Hunter Green",280.68,321.44
9,75,5,9755,"verde musgo","Moss Green","темно-зеленый","Dark Green","dunkelgrün","Dark Green","vert très foncé","Very Dark Green","绿色","Green","verde","Green","녹색","Green","深緑","Dark green","Buckingham Green","Green","Pine Green",286.6,311.17
105,5,4,10554,"vino","Wine","бордо","Wine","Braun","Brown","bordeaux","Burgundy","棕色","Brown","rosso","Red","빨간색","Red","ワイン色","Burgundy","Dark Red Lipstick","Brown","Deep Burgendy",393.01,292.92
10,60,5,10605,"verde oscuro","Dark Green","зеленый","Green","grasgrün","Grass Green","vert","Green","墨绿色","Dark Green","verde scuro","Dark Green","녹색","Green","みどり","Green","Deep Forest Green","Sage","Dark Green",298.43,317.29
1,33,97,13397,"color azul oscuro","Dark Blue","синий","Blue","Dunkelblau","Dark Blue","bleu foncé","Dark Blue","深蓝色","Navy Blue","celo","Blue","파랑","Blue","藍","Indigo","Royal Navy Blue","Navy","Darken Blue",262.32,247.52
13,59,2,13592,"verde olivo oscuro","Dark Olive Green","темно-зеленый","Dark Green","schwarzgrün","Black Green","vert bouteille","Bottle Green","绿色","Green","verde","Green","녹색","Green","緑","Green","Dark Forest Green","Green","Forest Green",305.06,310.42
141,0,2,14102,"rojo vino","Red Wine","красно-коричневый","Red-Brown","rot","Red","rouge","Red","暗红色","Dark Red","marrone","Red","벽돌색","Brick","濃い赤","Deep red","Deep Burnt Orange","Red","Old Barn Red",431.88,274.72
1,4,143,14143,"azul de prusia","Prussian Blue","темно синий","Dark Blue","dunkelblau","Dark Blue","bleu","Blue","藍","Blue","blu scuro","Dark Blue","파랑","Blue","暗い青","Dark blue","Dark Blue Purple","Blue","Royal Blue",265.12,205.66
0,141,69,14169,"verde musgo claro","Clear Moss Green","зеленый","Green","grün","Green","vert foncé","Dark Green:","綠色","Green","verde","Green","녹색","Green","暗い緑","Dark green","Dark Spring Green","Green","Forest Moss",249.13,325.39
1,51,20,15120,"verde pino","Pine Green","тёмно зелёный","Dark Green","dunkelgrün","Dark Green","vert foncé","Dark Green:","绿色","Green","verde","Green","녹색","Green","暗いみどり","Dark green","Midnight Green","Dark Green","Dark Green",293.84,289.19
16,0,84,16084,"AZUL","Blue","Синий","Blue","blau","Blue","bleu","Blue","蓝色","Blue","nero","Blue","곤색","Navy","こいあお","Dark Blue","Dark Royal Blue","Gator Blue","Gator Blue",294.7,244.45
16,82,8,16828,"pasto fresco","Fresh Grass","темно-зеленый","Dark Green","dinkelgrün","Spelled Green","vert foncé","Dark Green:","苔色","Moss Color","Smeraldo scuro","Grass Green","매우어두운녹색","Very dark green","緑","Green","Bright Olive Green","Dark Green","Dark Green",293.68,327.98
